Program Name,Organization Name,Description of Program,Link,Type,High School,Field of Study,Skills preferred,Location,Mode of Participation,Program Duration  (Start Date - End Date),Deadline,Tuition/Fees,Stipend/Salary:,Keywords,Tags
LLCipher,MIT Lincoln Laboratory,One-week summer workshop introducing high school students to theoretical cryptography.,https://www.ll.mit.edu/outreach/llcipher,Workshop,High School,"Mathematics, Computer Science, Cybersecurity","Strong math background, interest in cybersecurity","MIT Lincoln Laboratory, Cambridge, MA",In-person,N/A,"April 14, 2024",Free,None,"Workshop, In-person, High School","STEM, ""Mathematics"""
Summer Academy for Mathematics and Science,Carnegie Mellon University,Intensive residential program focusing on STEM education for underrepresented students.,https://www.cmu.edu/pre-college/academic-programs/sams.html,Summer Workshop,High School,"Mathematics, Science, Engineering","Strong math and science background, interest in STEM careers",Carnegie Mellon University Campus,In-person,June1-July31,March 15,Free,None,"Workshop, In-person, High School","STEM, ""Mathematics"""
Leap@CMU,"Carnegie Mellon University, School of Computer Science",Intensive summer program focusing on computer science fundamentals for high school students.,https://www.cs.cmu.edu/~leap/,Workshop,High School,Computer Science,"Strong math skills, interest in computer science, problem-solving","Carnegie Mellon University, Pittsburgh, PA",In-person,June1-August31,March 1,"$2,400",Available,"Workshop, In-person, High School","STEM, ""Computer Science"""
Raleigh Engineering Residential Camps,North Carolina State University,Residential camps offering hands-on engineering experiences for rising 11th and 12th graders.,https://engr.ncsu.edu/theengineeringplace/summerprograms/hs-residential/,Workshop/Camp,High School & College,Engineering,"Interest in engineering, problem-solving, teamwork","North Carolina State University Campus, Raleigh, NC",In-person,N/A,March 29,"$1,500",Available,"Workshop, In-person, High School Networking","STEM, ""Engineering"""
Pathways Careers,NASA,The Pathways Internship Program prepares you for a career at NASA and offers a direct pipeline to full-time employment at NASA upon graduation.,https://www.nasa.gov/careers/pathways/,Internship,High School,STEM,"Engineering, Science, Technology, Business","Washington D.C., California, New York, Texas, West Virginia, Florida",In-person,May25- August31,Early March,Free,None,"STEM, Aeronatics, Space, Business, Engineering","NASA, ""Space"", ""Exploration"", ""Astronomy"""
Discovery Program,Microsoft,"Discoverers will have the opportunity to experience the Design phase of the product development cycle, develop foundational skills while gaining mentorship from Microsoft employees and community building. You will discover how your passions can evolve into a career in tech at Microsoft and beyond.",https://careers.microsoft.com/v2/global/en/discoveryprogram,Internship,High School,STEM,"Software Development, Software Engineering, Product Management","Redmond, Washington / Atlanta, Georgia",In-person,4 weeks from July - August,Late March,Free,None,"STEM, Technology, Software Engineering, Software Development, Product Management","Microsoft, Tech Careers"
Meta (Facebook) Summer Academy,Meta,Students will have the opportunity to learn about the day-to-day operations of one of the world’s leading social media networks by being part of a dynamic workforce.,https://metasummeracademy.com/eligibility-3/about-3/,Internship,High School,STEM,"Computer Science, Engineering, Product Management","East Palo Alto, Belle Haven, North Fair Oaks, Redwood City",In-person,Mid June to Late July,March 1,Free,None,"STEM, Coding, Technology","Meta, ""Facebook"", ""Tech Careers"", ""Software Development"", ""Product Management"""
Spark Summer Program,Spark,"Helps to provide opportunities for motivated high school students in the Greater Seattle area hands-on, in-depth learning by connecting them with industry experts, educators and mentors from various organizations",https://www.sparksmp.org/,Mentorship,High School,STEM,N/A,Seattle,In-person,Summer,April,Free,None,"Mentorship, Career, Industry work, Research Projects","Seattle, ""Mentorship"""
M.I.N.D.S. (Medical Internship Navigating Diversity and Science),Hackensack Meridian School of Medicine,A 6-week paid internship for underrepresented or financially disadvantaged high school juniors and seniors interested in pursuing a career in medicine.,https://www.hmsom.edu/en/office-of-diversity-equity-and-inclusion/high-school-pre-med-students,Internship,High School,Medicine,"Science, Math","Hackensack Meridian School of Medicine, NJ",In-person,"6 weeks, July - August",May,Free,None,"Medicine, Doctor, Healthcare","Paid internship, ""Financially challenged"""
WISE (Waksman Institute Summer Experience),"Waksman Institute, Rutgers University",Rutgers University offers this 2-week program for high school students looking to conduct research in molecular biology and bioinformatics.,https://wssp.rutgers.edu/wise,Research Program,High School,Biology,Science (Biology),"Busch Campus, Rutgers University, NJ",In-person,August 12 - August 23,N/A,"$2,000",None,"Biology, DNA Analysis, Bioinformatics, Molecular Biology, Real-world Research","Rutgers, ""Science"", ""STEM"""
GSTEM,New York University,GSTEM is a six-week summer program for high school students with an interest in pursuing academic and career paths in STEM. Students are paired with a STEM professor or researcher and work on individual projects in a field of their choosing.,https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/gstem.html,Research Program,High School,STEM,"Programming, Scientific Writing, Presentation",New York University,In-person,July 1 - August 9,April 15,"$5,300",None,"STEM, Research, Project, Labs","New York, ""NYU"", ""Individual Work"""
Horizon Academic Research Program,Horizon Academic,Horizon Academic (HARP) is a trimester-long online research program for extraordinary high school students to refine their interest in an academic subject. Students will develop a college-level research project under the individualized guidance of a professor from a globally renowned university.,https://www.horizoninspires.com/,Research Program,High School,STEM,N/A,Virtual,Online,March 3 - June 23,February 3,Free,None,"STEM, Research, Project, Virtual","College Research, ""Individual Research"""
DSI Summer Lab,The University of Chicago,"A summer research opportunity for undergraduate students (and Chicago-area high school students) focusing on rigorous, applied, interdisciplinary data science research and rooted in a cohort community.",https://datascience.uchicago.edu/education/summerlab/,Research Program,High School & College,STEM,"At least one programming language, Math, Computer Science",University of Chicago,In-person,June 10 - August 2,January,Free,None,"STEM, Data Analysis, Computer Science, Coding, Research","Lab, ""Research Lab"", ""Data, Programming"""
Scripps Student Research Internship,Scripps,"The Student Research Internship Program is a 10-week summer program designed for high school, undergraduate, graduate and professional students. The primary goal is to equip students interested in health sciences, statistics, and computational/computer science to become future leaders in the realm of translational medical research.",https://www.scripps.edu/science-and-medicine/translational-institute/education-and-training/student-research-internship/,Internship,High School,Medical Research,"Health Science, Statistics, Computer Science","San Diego, California",In-person,June 3 - August 9,March 30,Free,None,"Medicine, Medical Research, Healthcare, Health Research, Statistics, Computer Science","California, ""Doctor"", ""Research"""
Summer Science Research Program,The Rockefeller University,"SSRP Scholars will participate on a research team designed and guided by Rockefeller trainees. SSRP teams mirror the structure of a Rockefeller laboratory, where one trainee serves as team lead with support from dedicated scientist-mentors. Each team will have their own space in the RockEDU laboratory.",https://www.rockefeller.edu/outreach/ssrp/,Research Program,High School,STEM,N/A,The Rockefeller University,In-person,June 24 - August 8,Early January,Free,None,"STEM, Research, Scientific Research","Rockefeller University, ""Laboratory Work"", ""Research Lab"""
State Pre-College Enrichment Program (S-PREP),Columbia University,"The State Pre-College Enrichment Program (S-PREP) is a Free high school and college preparatory program designed for 7th - 12th grade students who are interested in pursuing a career in medicine or related STEM fields. The purpose of the program is to increase the number of historically underrepresented and economically disadvantaged students prepared to enter college and improve their participation rate in mathematics, science, technology, health-related fields, and the licensed professions.",https://www.vagelos.columbia.edu/educatioN/Academic-programs/additional-educational-opportunities/summer-youth-programs/middle-high-school-students/state-pre-college-enrichment-program-s-prep,Research Program,High School/Middle School,STEM,"Math, Science, Technology, Medicine",Columbia University,In-person,July,April 15,Free,None,"STEM, College Prep, SAT Prep","Preparatory Exam, High School, Middle School"
STEM for Rising 9th and 10th Graders,Brown University,"If your idea of summer fun is a deep-dive into the STEM fields, join other rising 9th and 10th grade students who are as passionate about advancing their knowledge of the STEM disciplines as you are for two weeks of hands-on team research projects, experiments and design-build challenges.",https://precollege.brown.edu/stem-rising,Research Program,N/A,STEM,"Science, Technology, Engineering, Math",Brown University,In-person,July 14 - July 26,May 10,Free,None,"STEM, Research, Middle School","Brown University, ""Rhode Island"", ""STEM"""
Teen Volunteer Program,Somerset County Library System of New Jersey (Bridgewater),"SCLSNJ is committed to providing volunteer opportunities that are meaningful for both the volunteer and the library, and that help us transform lives and strengthen communities.",https://sclsnj.org/about/volunteer/,Volunteer,N/A,Social Work,N/A,"1 Vogt Drive, Bridgewater, NJ 08807",In-person,Every other Tuesday evening from 6:30 to 7:30 beginning July 2 + other,N/A,Free,None,Volunteer,"Unpaid, ""High School"""
Teen Volunteer Program,Somerset County Library System of New Jersey (Bound Brook),"SCLSNJ is committed to providing volunteer opportunities that are meaningful for both the volunteer and the library, and that help us transform lives and strengthen communities.",https://sclsnj.org/about/volunteer/,Volunteer,N/A,Social Work,N/A,"402 East High Street, Bound Brook, NJ 08805",In-person,N/A,N/A,Free,None,Volunteer,"Unpaid, ""High School"""
Teen Volunteer Program,Somerset County Library System of New Jersey (Hillsborough),"SCLSNJ is committed to providing volunteer opportunities that are meaningful for both the volunteer and the library, and that help us transform lives and strengthen communities.",https://sclsnj.org/about/volunteer/,Volunteer,N/A,Social Work,N/A,"Municipal Complex, 379 South Branch Road, Hillsborough, NJ 08844",In-person,June 24-August 17,N/A,Free,None,Volunteer,"Unpaid, ""High School"""
Teen Volunteer Program,Somerset County Library System of New Jersey (Manville),"SCLSNJ is committed to providing volunteer opportunities that are meaningful for both the volunteer and the library, and that help us transform lives and strengthen communities.",https://sclsnj.org/about/volunteer/,Volunteer,N/A,Social Work,N/A,"100 South 10th Avenue, Manville, NJ 08835",In-person,N/A,N/A,Free,None,Volunteer,"Unpaid, ""High School"""
Teen Volunteer Program,Somerset County Library System of New Jersey (Montgomery),"SCLSNJ is committed to providing volunteer opportunities that are meaningful for both the volunteer and the library, and that help us transform lives and strengthen communities.",https://sclsnj.org/about/volunteer/,Volunteer,N/A,Social Work,N/A,"64 Washington Street, Rocky Hill, NJ 08553",In-person,check website,June 1,Free,None,Volunteer,"Unpaid, ""High School"""
Teen Volunteer Program,Somerset County Library System of New Jersey (North Plainfield),"SCLSNJ is committed to providing volunteer opportunities that are meaningful for both the volunteer and the library, and that help us transform lives and strengthen communities.",https://sclsnj.org/about/volunteer/,Volunteer,N/A,Social Work,N/A,"6 Rockview Avenue, North Plainfield, NJ 07060",In-person,N/A,N/A,Free,None,Volunteer,"Unpaid, ""High School"""
Teen Volunteer Program,Somerset County Library System of New Jersey (Peapack & Gladstone),"SCLSNJ is committed to providing volunteer opportunities that are meaningful for both the volunteer and the library, and that help us transform lives and strengthen communities.",https://sclsnj.org/about/volunteer/,Volunteer,N/A,Social Work,N/A,"Municipal Complex, School Street, Peapack, NJ 07977",In-person,check website,N/A,Free,None,Volunteer,"Unpaid, ""High School"""
Teen Volunteer Program,Somerset County Library System of New Jersey (Somerville),"SCLSNJ is committed to providing volunteer opportunities that are meaningful for both the volunteer and the library, and that help us transform lives and strengthen communities.",https://sclsnj.org/about/volunteer/,Volunteer,N/A,Social Work,N/A,"35 West End Avenue, Somerville, NJ 08876",In-person,check website,N/A,Free,None,Volunteer,"Unpaid, ""High School"""
Teen Volunteer Program,Somerset County Library System of New Jersey (Warren),"SCLSNJ is committed to providing volunteer opportunities that are meaningful for both the volunteer and the library, and that help us transform lives and strengthen communities.",https://sclsnj.org/about/volunteer/,Volunteer,N/A,Social Work,N/A,"42 Mountain Blvd., Warren, NJ 07059",In-person,N/A,N/A,Free,None,Volunteer,"Unpaid, ""High School"""
Teen Volunteer Program,Somerset County Library System of New Jersey (Watchung),"SCLSNJ is committed to providing volunteer opportunities that are meaningful for both the volunteer and the library, and that help us transform lives and strengthen communities.",https://sclsnj.org/about/volunteer/,Volunteer,N/A,Social Work,N/A,"12 Stirling Road, Watchung, NJ 07069",In-person,check website,N/A,Free,None,Volunteer,"Unpaid, ""High School"""
Volunteer Program,Somerset Regional Animal Shelter,"Every year Somerset Regional Animal Shelter takes in nearly 1,000 animals including cats, dogs, rabbits, and more. In addition to finding these animals their forever homes, they provide behavior modification, animal control, affordable spray, and pet retention programs.",https://srasnj.org/,Volunteer,N/A,Animal Health,Good with animals,"100 Commons Way, Bridgewater, NJ 08807",In-person,N/A,N/A,Free,None,Volunteer,Unpaid
Volunteer Squad,Schaumburg Township District Library,"Schaumburg Township District Library serves around 130,000 residents in Schaumburg Township, including portions of Elk Grove Village, Hanover Park, Hoffman Estates, Schaumburg and Streamwood. Each year, more than 1 million visitors come through the doors of our three branches.",https://www.schaumburglibrary.org/about/news/guide-volunteer-squad,Volunteer,N/A,Social Work,N/A,"130 South Roselle Road, Schaumburg, IL 60193",In-person,check website,April 1,Free,None,Volunteer,"Unpaid, ""High School"""
Volunteer Opportunities for Youth,Piscataway Public Library,Piscataway Public Library provides opportunities for all members of the community to learn and connect.,https://piscatawaylibrary.org/volunteer-opportunities-for-youth/,Volunteer,N/A,Social Work,N/A,"20 Murray Ave. Piscataway, NJ 08854",In-person,check calendar (https://piscataway.librarycalendar.com/events/month?age_groups%5B59%5D=59),N/A,Free,None,Volunteer,"Unpaid, ""High School"""
Volunteering at the Talking Book and Braille Center,New Jersey State Library,"The New Jersey State Library (NJSL), an affiliate of Thomas Edison State University, is led by State Librarian Jennifer R. Nelson and provides services for NJ libraries, the state legislature and government employees, Thomas Edison State University staff and students, and registered borrowers.",https://www.njstatelib.org/talking-book-braille-center/volunteer-opportunities-at-the-talking-book-braille-center/,Volunteer,N/A,Social Work,N/A,"2300 Stuyvesant Avenue, Trenton, NJ 08618",In-person,check website,N/A,Free,None,Volunteer,Unpaid
Volunteer Opportunities,Woodbridge Public Library,"The Woodbridge Public Library offers information and services to provide its community with opportunities for enjoyment, personal fulfillment, and lifelong learning.",https://www.twp.woodbridge.nj.us/1127/Volunteer-Opportunities,Volunteer,High School,Social Work,N/A,"1 George Frederick, Woodbridge, NJ 07095",In-person,check website,N/A,Free,None,Volunteer,"Unpaid, ""High School"""
COSMOS,"California State Summer School For Mathematics and Science, UC Davis","OSMOS, a PRE-COLLEGE Program, offers ambitious high school students the opportunity to learn from University faculty and experience a rigorous academic environment at a leading higher education institution.",https://cosmos-ucop.ucdavis.edu/app/main/,Immersion Program,"High School (10-12), College","science, technology, engineering, and mathematics",Dependant on school and course,California,In-person,"July 7, 2024 - August 3, 2024","February 9, 2024","$5,005 - $5,007",Available (Financial Aid),"High School, ""Pre-College"", ""Summer""","STEM, ""Engineering"", ""Mathematics"", ""Healthcare"
NASA Internship Programs,NASA,"At NASA, we explore the extraordinary every day and our work is more than just a profession—it’s a lifelong pursuit and a passion. NASA offers several opportunities for students to undertake meaningful and challenging projects that truly make an impact on humanity.",https://www.nasa.gov/learning-resources/internship-programs/,Internship,High School,"Engineering, Mathematics, Computer and Information Sciences",N/A,"Moffett Field, California","In-person, online, or hybrid",N/A,Year-round,Free,None,"High School, ""College"",""Internship"",""Computer Science""","STEM, ""Engineering"", ""Mathematics"","
USC Pre-College Program,USC,"Immerse yourself in college life by selecting a college-level course in a single discipline that will proudly go on a USC transcript. Our four-week, on-campus program is a unique opportunity to join the Trojan family, connect with USC faculty, and explore a potential major before graduating from high school.",https://precollege.usc.edu/,Immersion Program,High School (Rising Senior),"Engineering, Business, Math, Law, Pre-Health and Science, Writing, Performing Arts",N/A,"649 W. 34th St., Suite 108Los Angeles, CA 90089-1627",In-person,"June 16, 2024 - July 13 2024","May 3, 2025","$10,480.00",Available (Financial Aid),"High School, ""Pre-College"", ""Summer Program""","STEM, ""Law"", ""Healthcare"",""Arts"",""Engineering"",""Architecture"",""Journalism"", ""Humanities"""
Boston University RISE Internship/Practicum,Boston University Summer,"If you’re passionate about the sciences and are a domestic student currently in your junior year of high school, we invite you to apply for the Research in Science & Engineering (RISE) program. You will spend six weeks at BU conducting university laboratory research with some of the nation’s brightest scientific minds while advancing your STEM knowledge and skills.",https://www.bu.edu/summer/high-school-programs/rise-internship-practicum/,"Internship, Practicum","High School (Rising Junior, Rising Senior)","Astronomy, Biology, Engineering, Computer and Informations Science, Mathematics, Physics, Medicine",N/A,"Commonwealth Ave, Boston, MA 02215",In-Person,"June 3, 2024 - July 19, 2024","February 14, 2024","~$8,500",Available (Financial Aid),"High School, ""Internship"",""Computer Science""","STEM, ""Engineering"", ""Healthcare"",""Medi"""
Harvard Pre-College Summer School Program for High School Students,Harvard Summer School,A two-week academically rigorous on-campus program for exceptional high school students.,https://summer.harvard.edu/high-school-programs/pre-college-program/#outcomes,Immersion Program,"High School(9, 10, 11)","Writing, Medicine, Law, Business, Social Studies, STEAM",N/A,"Massachusetts Hall, Cambridge, MA 02138",In-Person,"June 22, 2025 - August 1, 2025","February 12, 2025","$5,550",Available (Financial Aid),"High School, ""Pre-College"", ""Summer Program"", ""Computer Science"", ""In-Person""","STEM,""Business"",""Healthcare"",""Law"",""Journalism"",""Humanities"""
Girls Who Code Summer Program,Girls Who Code,A two-week Summer Immersion Program to learn game design in live virtual classrooms.,https://girlswhocode.com/programs/summer-immersion-program,Immersion Program,"High School(11,12)",Computer Science,N/A,Virtual,Online,"June 14, 2024 - August 9, 2024","March 22, 2024",Free,None,"High School, ""Computer Science""","STEM, ""Inclusion"""
Bank of America Student Leader,Bank of America,"As a Student Leader, you will participate in an eight-week paid internship at a local nonprofit organization where you will learn first-hand about the needs of your community and the critical role nonprofits play. In addition, you will learn valuable civic, social and business leadership skills. Each Student Leader will attend the Student Leaders Summit held in Washington, D.C. where you will learn how government, business and the nonprofit sector work together to address critical community needs.",https://about.bankofamerica.com/en/making-an-impact/student-leaders,Internship,"High School(10,11)",Leadership,N/A,"Local, Washington D.C.",In-Person,N/A,"January 17, 2024",Free,None,"High School, ""Internship"", ""Leadership"", ""Local""",Business
Yale Young Global Scholars,Yale University,"Yale Young Global Scholars (YYGS) is an academic enrichment program for outstanding high school students from around the world. Each summer, students from over 150 countries (including all 50 U.S. states) participate in one interdisciplinary, two-week session at Yale’s historic campus. Immerse yourself in a global learning community at Yale University.",https://globalscholars.yale.edu/,Immersion Program,High School(12),"English, STEM, Law",English Proficiency,"New Haven, Connecticut",In-Person,"June 22, 2025 - August 1, 2025","March 15, 2025","$6,500",Available (Financial Aid),High School,"STEM,""Engineering"",""Law"",""Humanitites"""
Smithsonian Young Ambassadors Program,Smithsonian,"The Young Ambassadors Program (YAP) is a nationally recognized program for graduating high school seniors that fosters the next generation of community-conscious leaders in the arts, sciences, and humanities via the Smithsonian Institution and its resources.",https://latino.si.edu/yap,Internship,High School,"Humanities, Science, Arts","English Proficiency, Leadership, Humanities, Science, Arts",N/A,In-Person,"July 5, 2024 - August 2, 2024","April 15, 2024",Free,None,"Diversity, ""High School""","Art, ""Humanities"""
Smiths College Summer Science & Engineering Program,Smith College,The Smith Summer Science and Engineering Program (SSEP) is designed for exceptional high school students with strong interests in science and engineering. Engage in hands-on research with Smith faculty in life and physical sciences and in engineering.,https://www.smith.edu/academics/precollege-programs/summer-science-engineering,Immersion Program,High School,"Medicine, Engineering",N/A,"Northampton, Massachusetts",In-Person,"July 6, 2024 - August 3, 2024","February 16, 2024","$4,745 - $8,082",None,High School,Medi
Boston Leadership Institute: Neuroscience Research,Boston Leadership Institude,"Boston Leadership Institute’s Neuroscience Research program will teach students about the human neural systems and provide a detailed look at the pathways and components of the visual, auditory, olfactory, gustatory, and somatosensory systems.",https://bostonleadershipinstitute.com/neuroscience/,Research Program,"High School(10,11)","Neuroscience, Medicine",N/A,"Gann/Bentley Waltham, MA",In-Person,"July 15, 2024 - August 2, 2024",None,"$1,797 - $2,200",Available (Full-ride for rising seniors),High School,"Medi, ""Chemistry"""
Hofstra: Summer Science Research Program,Hofstra University,"Hofstra University's Summer Science Research Program offers high school students opportunities in science research under the guidance of professionals in science and mathematics. For more than 15 years, HUSSRP has provided selected research-oriented high school students the opportunity to work with our science faculty during the summer in an on-campus research program. The program runs from early July through mid-August culminating in a science ""poster session"" in early fall where students display the work they performed during the summer.",https://www.hofstra.edu/summer-science-research-program.html,Research Program,High School,Science,"Laboratory Based Science, Work Independantly","Hempstead, New York",In-Person,"July 8, 2024 - August 16, 2024","Friday, March 29, 2024","$2,000",None,"Research Program, ""Mentorship"", ""Project Based""",STEM
Alabama Scholastic Press Multicultural Journalism Program,The University of Alabama,"While still in high school, 10 to 15 students are selected to attend an intensive workshop held in Tuscaloosa, Alabama, each summer. The workshop emphasizes multimedia reporting, writing, editing, graphics, photography, production and basic communication skills. Participants’ work will be showcased in the “MJW Journal” to display what they’ve learned.",https://mjw.ua.edu/,Workshop,"High School(10, 11, 12)","Journalism, Writing",Writing,"Tuscaloosa, Alabama",In-Person,"May 31, 2024 - June 9, 2024","April 1, 2024",Free,None,"High School, ""Workshop"", ""Career Advancement""","Humanities,""Journalism"""
Columbus College of Art & Design College Preview,Columbus College of Art & Design,Columbus College of Art & Design’s program allows students to experience life as a college student enrolled in an Art and Design program. They’ll receive lectures and partake in workshops to enrich their knowledge of the field.,https://www.ccad.edu/academics/college-preview,Immersion Program,Highschool,Visual Arts,Art,"Columbus, Ohio",In-Person,"July 7, 2024 - July 27, 2024","May 28, 2024","$3,350","Available (Need-based, merit-based)","Scholarship, ""High School"", ""Career Advancement""","Humanities, ""Arts"""
Coriell Institute’s Summer Experience,Coriell Institute for Medical Research,"Running from July 17 through August 19, the Coriell Summer Experience for Students is a paid opportunity for high school and college students to work alongside world-renowned scientists and researchers and gain insights into careers in science or related areas.",https://www.coriell.org/1/About-Us/Education/Summer-Experience,Research Program,Highschool,Science,"Advanced science classes, strong interest in science","403 Haddon Ave, Camden, NJ 08103",In-person,July 17-August 19,"May 15, 2024",Free,None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""",STEM
Coriell Summer Experience for Students,Coriell Institute for Medical Research,"Running from July 6 through August 3, the Coriell Summer Experience for Students is an opportunity for high school and college students to work alongside world-renowned scientists and researchers and gain insights into careers in science or related areas.",https://www.coriell.org/1/About-Us/Education/Summer-Experience,Research Program,Highschool,"Science, Medical","Advanced science classes, strong interest in science","403 Haddon Ave, Camden, NJ 08103",In-person,July 6 - August 3,"May 15, 2024",Free,None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""",STEM
Liberty Science Center’s Partners in Science,Liberty Science Center,"Partners in Science is an intensive, eight-week summer program for rising high school juniors and seniors that pairs students with mentors in science, health, and technical fields. It exposes them to current questions driving scientific discovery and challenges them to participate in ongoing research and independent projects.",https://lsc.org/education/educators/partners-in-science,Research Program,Highschool+,Science,N/A,"Liberty State Park 222 Jersey City Boulevard Jersey City, NJ 07305",In-person,"June 27, 2024 - August 24, 2024","Feb 24, 2024",Free,"Available($1,000)","High School, ""Pre-College"", ""Summer Program"", ""In-Person""",STEM
Rutgers Youth Enjoy Science (RUYES),Rutgers Cancer Institute of New Jersey,The Rutgers Youth Enjoy Science (RUYES) program seeks to encourage youth from groups that are underrepresented in the biomedical sciences to pursue cancer research and healthcare careers.,https://www.cinj.org/education/ruyes-information-high-school-and-undergraduate-students,Research Program,Highschool,"Science, Medical",Highly motivated and academically able to pursue a career in biomedical/cancer science,"Rutgers Cancer Institute of New Jersey 195 Little Albany Street New Brunswick, NJ 08903",In-person,N/A,March 8th,Free,None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""","STEM, ""Research"""
